"","region","state","year","abundance","simpson","richness","evenness","encs"
"434","central_west","jalisco",2006,1.33298178297099,0.480322754399038,79,0.305068701579394,3.79233446375797
"435","central_west","jalisco",2007,1.33003090957687,0.4737761007667,84,0.300177364571716,3.78116025982625
"436","central_west","jalisco",2008,1.27869511631576,0.453401060229209,86,0.287066775729691,3.59194958977964
"437","central_west","jalisco",2009,1.3361663111561,0.472847768746648,89,0.297677557524187,3.80443050962228
"438","central_west","jalisco",2010,1.3632558202687,0.472909470562661,89,0.303712688660065,3.90889927988447
"439","central_west","jalisco",2011,1.43514278914135,0.496457449730978,90,0.31893410928112,4.20024471530749
"440","central_west","jalisco",2012,1.43366091324575,0.497989646902572,90,0.318604789597806,4.19402508340769
"441","central_west","jalisco",2013,1.57072732255186,0.550047038324264,89,0.349934187840124,4.81014544906752
"442","central_west","jalisco",2014,1.62056744737926,0.563076372859411,86,0.363817039758506,5.05595849311383
"443","central_west","jalisco",2015,1.47852556411782,0.484106038553101,88,0.330224333210038,4.38647333687905
"444","central_west","jalisco",2016,1.51777524649646,0.522685572453141,87,0.339858144451417,4.56206442791248
"445","central_west","michoacan",1980,1.70090269891257,0.636866197234304,75,0.393956544681583,5.47889094902139
"446","central_west","michoacan",1981,1.69008224287446,0.633731216641582,71,0.396483501371332,5.41992643713137
"447","central_west","michoacan",1982,1.9373123561653,0.692330833064967,74,0.45011223441397,6.94007343701586
"448","central_west","michoacan",1983,1.68018912770204,0.64446101495862,79,0.384531223265063,5.36657084236009
"449","central_west","michoacan",1984,1.94956645049786,0.709143716808639,79,0.446181420702187,7.02564095706679
"450","central_west","michoacan",1985,1.79250592917796,0.681021560867574,70,0.421915484672474,6.00448043172278
"451","central_west","michoacan",1986,1.80415283519196,0.692867466209657,59,0.442461377733869,6.07482289182123
"452","central_west","michoacan",1987,1.74952260979835,0.663343236693425,70,0.411798180325708,5.75185614071052
"453","central_west","michoacan",1988,1.6596771613859,0.636860396172067,69,0.391978132714392,5.25761320986848
"454","central_west","michoacan",1989,1.65015743270549,0.638360475801816,66,0.393864777484589,5.2077996406325
"455","central_west","michoacan",1990,1.65949291804613,0.640739938686747,68,0.393290647629443,5.25664461888247
