"","region","crop_group","FAO_crop","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"40","central","Fruits","Papayas",6010,7562,10915,12456,17347,13628,16186,12617,11468,7215,4886,8720,11605,6913,11062,7648,10216,12904,12599,7633,6351.5,10128.25,9512.7,9617.5,10436.15,10095.59,10335.39,11133.35,7026.44,6466.75,4913.75,5370.5,5423,4767.9,4187.2,4604,4759.55
"41","central","Fruits","Peaches and nectarines",8310,8274,8310,9104,6727,5999,5696,5068,4917,6714,6391,7197,6152,6039,5895,6533,6500.3,6818,6999,7893,7864,8395.5,9056.3,9810.8,10408.3,10535.15,10910.4,10699.17,12078.35,11793.05,11974.3,11107.9,10954.51,11029.11,10965.61,10834,10166.81
"42","central","Fruits","Pears",2517,1590,2436,2757,2238,3297,3299,2836,2281,2114,2270,2604,2688,3077,2958,2937,2808,2863,2891.5,3171.5,3116.2,3144.2,3148.7,3129.2,3595.3,3623.95,3654.2,3548.2,2566.95,2508.15,2847.65,3078.8,2941.8,3004,2962.5,2928,2875.85
"43","central","Fruits","Pineapples",9233,5554,5,NA,547,4577,4705,5405,5806,6010,6000,4243,5180,2763,2396,2424,4539,5194,6543,7254,7844,9167,9226,11534.5,11539,10107,10553,11350,11557,11669,11660.25,12255,12190.5,12172.5,13080.5,12286,12573.5
"44","central","Fruits","Plantains and others",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2070,2070,2070,2070,2170,2240,2240
"45","central","Fruits","Plums and sloes",7057,7387,7950,8106,7816,6368,6860,5571,3596,4590,4425,5496,5112,4943,5085,5146,5455,5591,5408,5872,5909.5,5974,5978,5972.5,5931.9,6131.95,6098.35,6152.6,4766.35,4415.15,4492.15,4641.55,4836.35,4791.15,4799.95,4776,4859.23
"46","central","Fruits","Quinces",1190,1149,1190,1039,188,140,127,95,78,40,31,18,41,41,18,40,47,45,45,39,39,39,45,27,27,27,23,23,23,23,23,23,23,21,18,16,15.42
"47","central","Fruits","Raspberries",NA,NA,NA,NA,NA,NA,2,2,2,2,NA,3,4,4,5,5,45,42,46.5,45.5,68.5,67.5,62.5,62,59,59.75,59.25,54.25,48.75,51.75,45.25,44.25,32.25,27.5,26.75,26,21.25
"48","central","Fruits","Strawberries",43,20,82,111,145,152,147,103,227,159,113,221,133,147,124,126,119,133,151.75,132.75,220,235,216.3,246,182,246.55,284,265,247,253,257,317,326,335,416.5,441,578
"49","central","Fruits","Tangerines, mandarins, clementines, satsumas",5004,5544,12389,12468,13284,6540,5339,5339,4492,3695,4307,4776,10445,10719,11962,10783,11379,11616,16808,15921,18040.75,19445.25,21090.25,21897.2,21777,21409.75,20844.3,21891.5,24615.3,24065.3,24355.3,25090.25,26956.9,29318.5,30463.9,30422,30358.1
